uniprot,gene,n,raw_rho,raw_rmse,iso_auto_loco_rho,iso_auto_ci_low,iso_auto_ci_high,iso_auto_direction,iso_forced_loco_rho,iso_forced_ci_low,iso_forced_ci_high,iso_forced_direction,router_calibrator,router_direction,router_rationale,post_fit_loco_rho,post_fit_ci_low,post_fit_ci_high,post_fit_tier,spans_zero,shipped_pkl,escalation_required,beta_loco_rho,beta_ci_low,beta_ci_high
P36544,CHRNA7,9,0.03333333333333333,2.78358460357465,-0.7666666666666667,-0.9486832980505139,0.2581988897471611,increasing,-0.6166666666666666,-0.9486832980505139,0.7745966692414834,increasing,isotonic,increasing,"8<=n<15, no hierarchical; isotonic with forced direction from empirical ρ sign (auto unstable below n=15)",-0.6166666666666666,-0.9486832980505139,0.7745966692414834,C,True,C:\Users\Pierce Lonergan\Documents\GitHub\MAMMAL_Cognitive_Enhancement_Drug_Repurposing\data\calibration\isotonic\P36544.pkl,True,,,
P22303,ACHE,8,0.2380952380952381,3.1281939127913363,-0.6666666666666669,-0.7999999999999999,0.7999999999999999,increasing,-0.6666666666666669,-0.7745966692414834,0.7999999999999999,increasing,isotonic,increasing,"8<=n<15, no hierarchical; isotonic with forced direction from empirical ρ sign (auto unstable below n=15)",-0.6666666666666669,-0.7745966692414834,0.7999999999999999,C,True,C:\Users\Pierce Lonergan\Documents\GitHub\MAMMAL_Cognitive_Enhancement_Drug_Repurposing\data\calibration\isotonic\P22303.pkl,True,,,
P42261,GRIA1,22,0.10305817070322765,2.8338906330814986,-0.32634644713461447,-0.7024364674300503,0.5547054122727186,increasing,-0.32634644713461447,-0.556472319538171,0.6708575357296097,increasing,isotonic,auto,weak signal at 15<=n<25; isotonic 'auto' as best available (beta-cal unusable for continuous regression; hierarchical PyMC deferred to v2),-0.32634644713461447,-0.7024364674300503,0.5547054122727186,C,True,C:\Users\Pierce Lonergan\Documents\GitHub\MAMMAL_Cognitive_Enhancement_Drug_Repurposing\data\calibration\isotonic\P42261.pkl,True,,,
P42262,GRIA2,16,0.1162619887967889,1.7525056942465997,-0.9204712812960234,-0.8660254037844386,0.7745966692414834,increasing,-0.11929307805596466,-0.7905079398220201,0.8944271909999159,increasing,isotonic,auto,weak signal at 15<=n<25; isotonic 'auto' as best available (beta-cal unusable for continuous regression; hierarchical PyMC deferred to v2),-0.9204712812960234,-0.8660254037844386,0.7745966692414834,C,True,C:\Users\Pierce Lonergan\Documents\GitHub\MAMMAL_Cognitive_Enhancement_Drug_Repurposing\data\calibration\isotonic\P42262.pkl,True,,,
P42263,GRIA3,8,-0.2380952380952381,1.5017484731390818,-0.28571428571428575,-0.8944271909999159,0.5537277090068438,decreasing,-0.07142857142857144,-0.7999999999999999,0.7745966692414834,decreasing,isotonic,decreasing,"8<=n<15, no hierarchical; isotonic with forced direction from empirical ρ sign (auto unstable below n=15)",-0.07142857142857144,-0.7999999999999999,0.7745966692414834,C,True,C:\Users\Pierce Lonergan\Documents\GitHub\MAMMAL_Cognitive_Enhancement_Drug_Repurposing\data\calibration\isotonic\P42263.pkl,True,,,
P48058,GRIA4,12,-0.11908949961751886,1.3980592801187766,-0.49387116017853416,-0.8944271909999159,0.7745966692414834,decreasing,-0.234676366893346,-0.7999999999999999,0.8840237340677976,decreasing,isotonic,decreasing,"8<=n<15, no hierarchical; isotonic with forced direction from empirical ρ sign (auto unstable below n=15)",-0.234676366893346,-0.7999999999999999,0.8840237340677976,C,True,C:\Users\Pierce Lonergan\Documents\GitHub\MAMMAL_Cognitive_Enhancement_Drug_Repurposing\data\calibration\isotonic\P48058.pkl,True,,,
Q12879,GRIN2A,7,-0.396412483586046,1.5546118530386013,0.10811249552346709,,,decreasing,0.10811249552346709,,,decreasing,none,escalate,n < 8 — below defensible threshold; route to §7.7,0.10811249552346709,,,C,True,,True,,,
Q13224,GRIN2B,13,-0.29834709485930816,2.0943963023142307,-0.17150908366323384,-0.9999999999999999,0.8944271909999159,decreasing,-0.17150908366323384,-0.7222920059989079,0.9486832980505139,decreasing,isotonic,decreasing,"8<=n<15, no hierarchical; isotonic with forced direction from empirical ρ sign (auto unstable below n=15)",-0.17150908366323384,-0.7222920059989079,0.9486832980505139,C,True,C:\Users\Pierce Lonergan\Documents\GitHub\MAMMAL_Cognitive_Enhancement_Drug_Repurposing\data\calibration\isotonic\Q13224.pkl,True,,,
P21728,DRD1,17,0.28501314530596455,2.345722755001724,0.0049140197466545615,-0.774743931496921,0.8280786712108251,increasing,0.0049140197466545615,-0.6000000000000001,0.8673870849197765,increasing,isotonic,auto,weak signal at 15<=n<25; isotonic 'auto' as best available (beta-cal unusable for continuous regression; hierarchical PyMC deferred to v2),0.0049140197466545615,-0.774743931496921,0.8280786712108251,C,True,C:\Users\Pierce Lonergan\Documents\GitHub\MAMMAL_Cognitive_Enhancement_Drug_Repurposing\data\calibration\isotonic\P21728.pkl,True,,,
Q01959,SLC6A3,23,-0.6968124749419331,2.15465696934959,0.6192241355335051,0.12754524943146714,0.9275712725245563,decreasing,0.6192241355335051,0.12754524943146714,0.9275712725245563,decreasing,isotonic,decreasing,direction unstable in auto; force via empirical ρ sign,0.6192241355335051,0.12754524943146714,0.9275712725245563,A,False,C:\Users\Pierce Lonergan\Documents\GitHub\MAMMAL_Cognitive_Enhancement_Drug_Repurposing\data\calibration\isotonic\Q01959.pkl,False,,,
P08913,ADRA2A,21,-0.013640793184518914,2.7490666464370364,-0.7197142308784265,-0.630061919161936,0.6123724356957946,decreasing,-0.16823644927573328,-0.4675260676517457,0.6761234037828132,decreasing,isotonic,auto,weak signal at 15<=n<25; isotonic 'auto' as best available (beta-cal unusable for continuous regression; hierarchical PyMC deferred to v2),-0.7197142308784265,-0.630061919161936,0.6123724356957946,C,True,C:\Users\Pierce Lonergan\Documents\GitHub\MAMMAL_Cognitive_Enhancement_Drug_Repurposing\data\calibration\isotonic\P08913.pkl,True,,,
P23975,SLC6A2,21,-0.5958415812740617,2.0350101110280168,0.39571158451025473,-0.07810245785249037,0.9536459298086264,decreasing,0.39571158451025473,-0.0629347439153036,0.9536459298086264,decreasing,isotonic,decreasing,direction unstable in auto; force via empirical ρ sign,0.39571158451025473,-0.0629347439153036,0.9536459298086264,C,True,C:\Users\Pierce Lonergan\Documents\GitHub\MAMMAL_Cognitive_Enhancement_Drug_Repurposing\data\calibration\isotonic\P23975.pkl,True,,,
Q9Y5N1,HRH3,11,-0.11845133237033335,1.9573970146498358,-0.6833730713673077,-0.9486832980505139,0.6000000000000001,decreasing,-0.4555820475782052,-0.9110393346764043,0.888888888888889,decreasing,isotonic,decreasing,"8<=n<15, no hierarchical; isotonic with forced direction from empirical ρ sign (auto unstable below n=15)",-0.4555820475782052,-0.9110393346764043,0.888888888888889,C,True,C:\Users\Pierce Lonergan\Documents\GitHub\MAMMAL_Cognitive_Enhancement_Drug_Repurposing\data\calibration\isotonic\Q9Y5N1.pkl,True,,,
O43613,HCRTR1,6,0.3714285714285715,3.009068634352109,-0.7714285714285715,,,increasing,-0.7714285714285715,,,increasing,none,escalate,n < 8 — below defensible threshold; route to §7.7,-0.7714285714285715,,,C,True,,True,,,
O43614,HCRTR2,6,-0.08571428571428573,3.0515985348087433,-1.0,,,decreasing,-0.3714285714285715,,,decreasing,none,escalate,n < 8 — below defensible threshold; route to §7.7,-1.0,,,C,True,,True,,,
Q08499,PDE4D,11,-0.1059456926727952,4.136387298536025,-0.5792034671995594,-0.8885233166386386,0.8164965809277261,decreasing,-0.18468375044793803,-0.775391946375557,0.8927701599143745,decreasing,isotonic,decreasing,"8<=n<15, no hierarchical; isotonic with forced direction from empirical ρ sign (auto unstable below n=15)",-0.18468375044793803,-0.775391946375557,0.8927701599143745,C,True,C:\Users\Pierce Lonergan\Documents\GitHub\MAMMAL_Cognitive_Enhancement_Drug_Repurposing\data\calibration\isotonic\Q08499.pkl,True,,,
O76083,PDE9A,11,-0.1930614598326846,4.839766803269759,-0.7805105305485367,-1.0,0.8164965809277261,decreasing,-0.4777670520327407,-0.8164965809277261,0.8888797495826327,decreasing,isotonic,decreasing,"8<=n<15, no hierarchical; isotonic with forced direction from empirical ρ sign (auto unstable below n=15)",-0.4777670520327407,-0.8164965809277261,0.8888797495826327,C,True,C:\Users\Pierce Lonergan\Documents\GitHub\MAMMAL_Cognitive_Enhancement_Drug_Repurposing\data\calibration\isotonic\O76083.pkl,True,,,
