gene,role,molregno,smiles,pchembl,max_sim_ref,max_sim_pool,predicted_pkd
SLC6A3,active,49674,Fc1ccc(C(OCCC2CCN(Cc3cccc4ccccc34)CC2)c2ccc(F)cc2)cc1,7.8,0.1375,0.6923076923076923,6.439014911651611
SLC6A3,active,358091,C=C1CN2C3CCC2C1C(c1ccc(I)cc1)C3,8.07,0.4150943396226415,0.75,6.371569633483887
SLC6A3,active,2037079,Fc1cc2c(cc1-c1ccc(OC(F)F)nn1)CNCC2c1ccc(Cl)c(Cl)c1,7.48,0.1538461538461538,0.7333333333333333,6.443769931793213
SLC6A3,active,512614,COc1ccc([C@H]2C[C@H]3CC[C@H]([C@H]2C(=O)OC2CC2)N3C)cc1.Cl,8.22,0.6153846153846154,0.9148936170212766,6.390808582305908
SLC6A3,active,1582731,O=C1NCC(c2cccc(Cl)c2)C1c1ccc(Cl)cc1,7.48,0.2586206896551724,0.8888888888888888,6.36234712600708
SLC6A3,active,3228654,Fc1cccc(Oc2cc(C(F)(F)F)nc(N3CCC4(CC3)CNCCO4)n2)c1,8.42,0.1294117647058823,0.8333333333333334,6.511723041534424
SLC6A3,active,205006,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccccc1)c1ccccc1)N2C,7.47,0.5185185185185185,0.8936170212765957,6.392586708068848
SLC6A3,active,596664,CC(C)OC[C@@H]1[C@H]2CNC[C@]21c1ccc(Cl)c(Cl)c1,8.3,0.15625,1.0,6.37458610534668
SLC6A3,active,1527274,Clc1ccccc1O[C@H](c1ccccc1)[C@@H]1CCNC1,7.3,0.1538461538461538,1.0,6.420858860015869
SLC6A3,active,1540486,CN1Cc2cc(-c3ccc(N)nn3)ccc2[C@H](c2ccc3ccccc3c2)C1,8.24,0.3728813559322034,0.7454545454545455,6.36038064956665
SLC6A3,active,3241344,O=C(NCC1(O)CCN(c2nc(Oc3cccc(F)c3)cc(C(F)(F)F)n2)CC1)C1CNC1,8.3,0.1630434782608695,0.9104477611940298,6.460302352905273
SLC6A3,active,3048959,CS(=O)(=O)Nc1ccc(-c2nc(NCC(c3ccccc3)N3CCOCC3)c3ccccc3n2)cc1,7.37,0.1111111111111111,0.8360655737704918,6.413383960723877
SLC6A3,active,1778794,Clc1ccc(C(CC2CNC2)Oc2ccccc2)cc1Cl,7.28,0.1428571428571428,0.7954545454545454,6.37952184677124
SLC6A3,active,3221054,C[C@](CN)(Cc1cccnc1)c1ccc2ccccc2c1,7.05,0.109375,0.4259259259259259,6.381897449493408
SLC6A3,active,1613333,O=C(OCCF)[C@H]1[C@@H](c2ccc(I)cc2)C[C@@H]2CC[C@H]1N2C/C=C/I,8.88,0.4918032786885246,0.8392857142857143,6.569528102874756
SLC6A3,active,2300179,COC[C@@H]1CN[C@H]2CC[C@]1(c1ccc(Cl)c(Cl)c1)C2,8.24,0.1911764705882352,1.0,6.397227764129639
SLC6A3,active,3222367,CNC[C@H](c1ccc2ccccc2c1)[C@H](O)c1cccs1,7.82,0.1216216216216216,0.6956521739130435,6.362576007843018
