name,smiles,chembl_id
PRAZOSIN,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,CHEMBL2
NICOTINE,CN1CCC[C@H]1c1cccnc1,CHEMBL3
OFLOXACIN,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,CHEMBL4
NALIDIXIC ACID,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,CHEMBL5
INDOMETHACIN,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL6
SULBACTAM,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,CHEMBL403
TAZOBACTAM,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,CHEMBL404
CIPROFLOXACIN,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,CHEMBL8
NORFLOXACIN,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,CHEMBL9
AMPHETAMINE,CC(N)Cc1ccccc1,CHEMBL405
ISOSORBIDE DINITRATE,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],CHEMBL6622
MIANSERIN,CN1CCN2c3ccccc3Cc3ccccc3C2C1,CHEMBL6437
IMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccccc21,CHEMBL11
INDAPAMIDE,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,CHEMBL406
FLUMAZENIL,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CHEMBL407
TROGLITAZONE,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,CHEMBL408
BICALUTAMIDE,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,CHEMBL409
DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,CHEMBL12
METOPROLOL,COCCc1ccc(OCC(O)CNC(C)C)cc1,CHEMBL13
DIETHYLSTILBESTROL,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,CHEMBL411
MECAMYLAMINE,CNC1(C)C2CCC(C2)C1(C)C,CHEMBL267936
CARBACHOL,C[N+](C)(C)CCOC(N)=O,CHEMBL14
PHENYTOIN,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,CHEMBL16
SIROLIMUS,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,CHEMBL413
TACROLIMUS ANHYDROUS,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,CHEMBL269732
CLOMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,CHEMBL415
METHOXSALEN,COc1c2occc2cc2ccc(=O)oc12,CHEMBL416
DICHLORPHENAMIDE,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,CHEMBL17
ETHOXZOLAMIDE,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,CHEMBL18
EPIRUBICIN,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,CHEMBL417
METHAZOLAMIDE,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,CHEMBL19
ACETAZOLAMIDE,CC(=O)Nc1nnc(S(N)(=O)=O)s1,CHEMBL20
MAFENIDE,NCc1ccc(S(N)(=O)=O)cc1,CHEMBL419
SULFANILAMIDE,Nc1ccc(S(N)(=O)=O)cc1,CHEMBL21
GUANABENZ,N=C(N)N/N=C/c1c(Cl)cccc1Cl,CHEMBL420
TRIMETHOPRIM,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL22
VERAPAMIL,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,CHEMBL6966
SULFASALAZINE,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,CHEMBL421
COUMARIN,O=c1ccc2ccccc2o1,CHEMBL6466
DILTIAZEM,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,CHEMBL23
ATENOLOL,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,CHEMBL24
ASPIRIN,CC(=O)Oc1ccccc1C(=O)O,CHEMBL25
TRIFLUOPERAZINE,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,CHEMBL422
SULPIRIDE,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,CHEMBL26
BETAXOLOL,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,CHEMBL423
SALICYLIC ACID,O=C(O)c1ccccc1O,CHEMBL424
OLSALAZINE,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,CHEMBL425
PROPRANOLOL,CC(C)NCC(O)COc1cccc2ccccc12,CHEMBL27
PRACTOLOL,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,CHEMBL6995
MECHLORETHAMINE,CN(CCCl)CCCl,CHEMBL427
PENICILLIN G,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,CHEMBL29
TROVAFLOXACIN,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,CHEMBL428
CIMETIDINE,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,CHEMBL30
GATIFLOXACIN,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,CHEMBL31
LABETALOL,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,CHEMBL429
MOXIFLOXACIN,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,CHEMBL32
LEVOFLOXACIN ANHYDROUS,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,CHEMBL33
GEMIFLOXACIN,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,CHEMBL430
SPIRAPRIL,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,CHEMBL431
VALPROATE SODIUM,CCCC(CCC)C(=O)[O-],CHEMBL433
ISOPROTERENOL,CC(C)NCC(O)c1ccc(O)c(O)c1,CHEMBL434
HYDROCHLOROTHIAZIDE,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,CHEMBL435
FUROSEMIDE,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,CHEMBL35
PYRIMETHAMINE,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,CHEMBL36
TOLRESTAT,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F,CHEMBL436
