name,role,family,klass,smiles,scaffold,window,clogp,tpsa,hbd,expected
sumatriptan,decoy,tryptamine,triptan 5-HT1B/1D,CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C,,False,1.32,65.2,2,False
rizatriptan,decoy,tryptamine,triptan 5-HT1B/1D,CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3,,False,1.91,49.7,1,False
eletriptan,decoy,tryptamine,triptan 5-HT1B/1D,CN1CCCC1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4,,False,3.82,53.2,1,False
almotriptan,decoy,tryptamine,triptan 5-HT1B/1D,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,,False,2.2,56.4,1,False
naratriptan,decoy,tryptamine,triptan 5-HT1B/1D,CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C,,False,2.07,65.2,2,False
frovatriptan,decoy,tryptamine,triptan 5-HT1B/1D,CNC1CCC2=C(C1)C3=C(N2)C=CC(=C3)C(=O)N,tryptamine,False,1.34,70.9,3,False
ondansetron,decoy,indole,5-HT3 antagonist,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,,False,3.13,39.8,0,False
granisetron,decoy,indole,5-HT3 antagonist,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C,,False,2.32,50.2,1,False
melatonin,decoy,tryptamine,MT1/MT2 agonist,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,,False,1.86,54.1,2,False
ramelteon,decoy,indole,MT1/MT2 agonist,CCC(=O)NCCC1CCC2=C1C3=C(C=C2)OCC3,,False,2.57,38.3,1,False
agomelatine,decoy,naphthalene,MT agonist/5-HT2C antag,CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,,False,2.53,38.3,1,False
tasimelteon,decoy,benzofuran,MT1/MT2 agonist,CCC(=O)NCC1CC1C2=C3CCOC3=CC=C2,,False,2.25,38.3,1,False
yohimbine,decoy,indole,alpha2 antagonist,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O,tryptamine,False,2.65,65.6,2,False
reserpine,decoy,indole,VMAT inhibitor,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,tryptamine,False,4.17,117.8,1,False
vinpocetine,decoy,indole,PDE1/vasodilator nootropic,CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC,,False,4.15,34.5,0,False
tadalafil,decoy,indole,PDE5 inhibitor,CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,,False,2.21,74.9,1,False
tryptophan,decoy,tryptamine,amino acid,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,tryptamine,False,1.12,79.1,3,False
oxitriptan,decoy,tryptamine,5-HTP precursor,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,tryptamine,False,0.83,99.3,4,False
serotonin,decoy,tryptamine,endogenous (impermeant),C1=CC2=C(C=C1O)C(=CN2)CCN,tryptamine,False,1.37,62.0,3,False
bromocriptine,decoy,ergoline,D2 agonist,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,tryptamine,False,3.19,118.2,3,False
cabergoline,decoy,ergoline,D2 agonist,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C,tryptamine,False,3.19,71.7,2,False
pergolide,decoy,ergoline,D2 agonist (clavine),CCCN1CC(CC2C1CC3=CNC4=CC=CC2=C34)CSC,,False,4.27,19.0,1,False
methysergide,decoy,ergoline,5-HT2 antagonist,CCC(CO)NC(=O)C1CN(C2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C,ergoline,True,1.94,57.5,2,False
metergoline,decoy,ergoline,5-HT antagonist,CN1CC(CC2C1CC3=CN(C4=CC=CC2=C34)C)CNC(=O)OCC5=CC=CC=C5,,False,4.06,46.5,1,False
