compound,smiles,smiles_kind,cid
donepezil,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,connectivity,3152
galantamine,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,connectivity,9651
rivastigmine,CCN(C)C(=O)OC1=CC=CC(=C1)C(C)N(C)C,connectivity,77991
memantine,CC12CC3CC(C1)(CC(C3)(C2)N)C,connectivity,4054
methylphenidate,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,connectivity,4158
lisdexamfetamine,CC(CC1=CC=CC=C1)NC(=O)C(CCCCN)N,connectivity,11597698
dextroamphetamine,CC(CC1=CC=CC=C1)N,connectivity,5826
atomoxetine,CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2,connectivity,54841
guanfacine-XR,C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl,connectivity,3519
modafinil,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,connectivity,4236
armodafinil,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,connectivity,9690109
pitolisant,C1CCN(CC1)CCCOCCCC2=CC=C(C=C2)Cl,connectivity,9948102
vortioxetine,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C,connectivity,9966051
encenicline,C1CN2CCC1C(C2)NC(=O)C3=CC4=C(S3)C(=CC=C4)Cl,connectivity,46196517
ABT-126,C1C2CC3CN(C2)CC1C3OC4=NN=C(S4)C5=CC=CC=C5,connectivity,24987875
TC-5619,C1CN2CCC1C(C2CC3=CN=CC=C3)NC(=O)C4=CC5=CC=CC=C5O4,connectivity,25147644
DMXB-A,COC1=CC(=C(C=C1)C=C2CCCN=C2C3=CN=CC=C3)OC.Cl,connectivity,25259372
idalopirdine,C1=CC(=CC(=C1)OCC(C(F)F)(F)F)CNCCC2=CNC3=C2C=CC(=C3)F,connectivity,21071390
intepirdine,C1CN(CCN1)C2=CC=CC3=CC(=CN=C32)S(=O)(=O)C4=CC=CC=C4,connectivity,11256720
SUVN-502,CN1CCN(CC1)CC2=CN(C3=C2C=C(C=C3)OC)S(=O)(=O)C4=CC=CC=C4Br,connectivity,10073773
pomaglumetad,C1C(C2C(C2S1(=O)=O)C(=O)O)(C(=O)O)N,connectivity,9834591
basimglurant,CC1=C(N=C(N1C2=CC=C(C=C2)F)C)C#CC3=CC(=NC=C3)Cl,connectivity,11438771
mavoglurant,CC1=CC(=CC=C1)C#CC2(CCCC3C2CCN3C(=O)OC)O,connectivity,9926832
CX-516,C1CCN(CC1)C(=O)C2=CC3=NC=CN=C3C=C2,connectivity,148184
S47445,C1CC1N2COC3=C(C2=O)C=C4C(=C3)C(=O)N(N=N4)CCC5=CC(=CC=C5)F,connectivity,24857397
farampator,C1CCN(CC1)C(=O)C2=CC3=NON=C3C=C2,connectivity,4118151
PF-04447943,CC1CN(CC1C2=NC3=C(C=NN3C4CCOCC4)C(=O)N2)CC5=NC=CC=N5,connectivity,135564558
BI-409306,C1COCCC1N2C3=C(C=N2)C(=O)NC(=N3)CC4=CC=CC=N4,connectivity,135908617
TAK-063,COC1=CN(N=C(C1=O)C2=CC=NN2C3=CC=CC=C3)C4=C(C=C(C=C4)N5C=CC=N5)F,connectivity,46848915
MK-0249,CC1=NC2=CC=CC(=C2C(=O)N1C3=CC=C(C=C3)OCCCN4CCCC4)C(F)(F)F,connectivity,11697697
ABT-288,CN1CC2CCN(C2C1)C3=CC=C(C=C3)C4=CC=C(C=C4)N5C(=O)C=CC=N5,connectivity,24743471
verubecestat,CC1(CS(=O)(=O)N(C(=N1)N)C)C2=C(C=CC(=C2)NC(=O)C3=NC=C(C=C3)F)F,connectivity,51352361
lanabecestat,CC#CC1=CC(=CN=C1)C2=CC3=C(CC4(C35N=C(C(=N5)N)C)CCC(CC4)OC)C=C2,connectivity,67979346
atabecestat,CC1(C=CSC(=N1)N)C2=C(C=CC(=C2)NC(=O)C3=NC=C(C=C3)C#N)F,connectivity,68254185
elenbecestat,CC1C2CSC(=NC2(CO1)C3=C(C=CC(=C3)NC(=O)C4=NC=C(N=C4)C(F)F)F)N,connectivity,57827330
semagacestat,CC(C)C(C(=O)NC(C)C(=O)NC1C2=CC=CC=C2CCN(C1=O)C)O,connectivity,9843750
avagacestat,C1=CC(=CC=C1S(=O)(=O)N(CC2=C(C=C(C=C2)C3=NOC=N3)F)C(CCC(F)(F)F)C(=O)N)Cl,connectivity,46883536
tideglusib,C1=CC=C(C=C1)CN2C(=O)N(SC2=O)C3=CC=CC4=CC=CC=C43,connectivity,11313622
bitopertin,CC(C(F)(F)F)OC1=C(C=C(C=C1)S(=O)(=O)C)C(=O)N2CCN(CC2)C3=C(C=C(C=N3)C(F)(F)F)F,connectivity,24946690
iclepertin,CC(C(F)(F)F)OC1=C(C=C(C=C1)S(=O)(=O)C)C(=O)N2CC3CC3(C2)C4=NOC(=C4)C(F)(F)F,connectivity,155259577
zatolmilast,C1=CC(=CC(=C1)Cl)C2=NC(=CC(=C2)CC3=CC=C(C=C3)CC(=O)O)C(F)(F)F,connectivity,90111638
xanomeline-trospium,CCCCCCOC1=NSN=C1C2=CCCN(C2)C,connectivity,60809
AQW051,CC1=CC=C(C=C1)C2=NC=C(C=C2)OC3CN4CCC3CC4,connectivity,50914822
MK-5757,C1CC2CC1C(C23CC3)CN4CCC(CC4)N5C6=CC=CC=C6N(C5=O)CC(CO)O,connectivity,44139754
simufilam,CN1CCC2(CC1)NCC(=O)N2CC3=CC=CC=C3,connectivity,46195331
arbaclofen,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,connectivity,44602
gaboxadol,C1CNCC2=C1C(=O)NO2,connectivity,3448
eptastigmine,CCCCCCCNC(=O)OC1=CC2=C(C=C1)N(C3C2(CCN3C)C)C,connectivity,65872
huperzine A,CC=C1C2CC3=C(C1(CC(=C2)C)N)C=CC(=O)N3,connectivity,854026
ladostigil,CCN(C)C(=O)OC1=CC2=C(CCC2NCC#C)C=C1,connectivity,208907
metrifonate,COP(=O)(C(C(Cl)(Cl)Cl)O)OC,connectivity,5853
phenserine,CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC4=CC=CC=C4)C)C,connectivity,192706
tacrine,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,connectivity,1935
velnacrine,C1CC(C2=C(C3=CC=CC=C3N=C2C1)N)O,connectivity,3655
CX-717,C1COCCN1C(=O)C2=CC3=NON=C3C=C2,connectivity,3323368
Org 26576,C1CC2COC3=C(C=CC=N3)C(=O)N2C1,connectivity,13584912
aniracetam,COC1=CC=C(C=C1)C(=O)N2CCCC2=O,connectivity,2196
oxiracetam,C1C(CN(C1=O)CC(=O)N)O,connectivity,4626
pesampator,CC(C)S(=O)(=O)NC1COCC1OC2=CC=C(C=C2)C3=CC=C(S3)C#N,connectivity,49853967
piracetam,C1CC(=O)N(C1)CC(=O)N,connectivity,4843
buntanetap,CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC4=CC=CC=C4)C)C,connectivity,11249342
luvadaxistat,C1=CC(=CC=C1CCC2=CC(=O)C(=O)NN2)C(F)(F)F,connectivity,71270546
sodium benzoate,C1=CC=C(C=C1)C(=O)[O-].[Na+],connectivity,517055
MK-0777,CCN1C(=NC=N1)COC2=NN3C(=NN=C3C4=CC=CC=C4F)C=C2C(C)(C)C,connectivity,9908684
ganaxolone,CC(=O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)(C)O)C)C,connectivity,6918305
exenatide,CCC(C)C(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(CC(=O)N)C(=O)NCC(=O)NCC(=O)N3CCCC3C(=O)NC(CO)C(=O)NC(CO)C(=O)NCC(=O)NC(C)C(=O)N4CCCC4C(=O)N5CCCC5C(=O)N6CCCC6C(=O)NC(CO)C(=O)N)NC(=O)C(CC7=CC=CC=C7)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(C(C)C)NC(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCSC)NC(=O)C(CCC(=O)N)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC8=CC=CC=C8)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)CNC(=O)C(CC9=CNC=N9)N,connectivity,45588096
liraglutide,CCCCCCCCCCCCCCCC(=O)NC(CCC(=O)NCCCCC(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(C(C)CC)C(=O)NC(C)C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)C(CC6=CN=CN6)N)C(=O)O,connectivity,16134956
semaglutide,CCC(C)C(C(=O)NC(C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CCC(=O)O)NC(=O)C(CCCCNC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CCC(C(=O)O)NC(=O)CCCCCCCCCCCCCCCCC(=O)O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)(C)NC(=O)C(CC6=CN=CN6)N,connectivity,56843331
lithium,[Li],connectivity,3028194
sarcosine,CNCC(=O)O,connectivity,1088
betahistine,CNCCC1=CC=CC=N1,connectivity,2366
valproate,CCCC(CCC)C(=O)[O-],connectivity,3549980
MK-7622,CC1=NC=C(C=C1)CC2=CC3=C(C4=CC=CC=C42)N=CN(C3=O)C5CCCCC5O,connectivity,46207733
Milameline,CN1CCC=C(C1)C=NOC,connectivity,9571002
Sabcomeline,CON=C(C#N)C1CN2CCC1CC2,connectivity,9577995
Talsaclidine,C#CCOC1CN2CCC1CC2,connectivity,71792
D-cycloserine,C1C(C(=O)NO1)N,connectivity,6234
D-serine,C(C(C(=O)O)N)O,connectivity,71077
dalzanemdor,CC(CCC(C)(C(F)(F)F)O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)(C)O)C)C,connectivity,86305217
bryostatin-1,CCCC=CC=CC(=O)OC1C(=CC(=O)OC)CC2CC(OC(=O)CC(CC3CC(C(C(O3)(CC4CC(=CC(=O)OC)CC(O4)C=CC(C1(O2)O)(C)C)O)(C)C)OC(=O)C)O)C(C)O,connectivity,5280757
pioglitazone,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,connectivity,4829
rosiglitazone,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,connectivity,77999
nicergoline,CN1CC(CC2(C1CC3=CN(C4=CC=CC2=C34)C)OC)COC(=O)C5=CC(=CN=C5)Br,connectivity,34040
RG3487 (MEM-3454),C1CN2CCC1C(C2)NC(=O)C3=NNC4=CC=CC=C43.Cl,connectivity,10380472
tramiprosate,C(CN)CS(=O)(=O)O,connectivity,1646
valiltramiprosate,CC(C)C(C(=O)NCCCS(=O)(=O)O)N,connectivity,25008296
nabilone,CCCCCCC(C)(C)C1=CC(=C2C3CC(=O)CCC3C(OC2=C1)(C)C)O,connectivity,5284592
citicoline,C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O,connectivity,13804
davunetide,CCC(C)C(C(=O)N1CCCC1C(=O)NC(CCC(=O)N)C(=O)O)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C(CC(=O)N)N,connectivity,9832404
idebenone,CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO,connectivity,3686
latrepirdine,CC1=CC2=C(C=C1)N(C3=C2CN(CC3)C)CCC4=CN=C(C=C4)C,connectivity,197033
varenicline,C1C2CNCC1C3=CC4=NC=CN=C4C=C23,connectivity,5310966
nicotine,CN1CCCC1C2=CN=CC=C2,connectivity,89594
reboxetine,CCOC1=CC=CC=C1OC(C2CNCCO2)C3=CC=CC=C3,connectivity,127151
viloxazine,CCOC1=CC=CC=C1OCC2CNCCO2,connectivity,5666
lemborexant,CC1=NC(=NC=C1OCC2(CC2C(=O)NC3=NC=C(C=C3)F)C4=CC(=CC=C4)F)C,connectivity,56944144
vinpocetine,CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC,connectivity,443955
cilostazol,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,connectivity,2754
mirodenafil (AR1001),CCCC1=CN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CCO)OCCC)CC,connectivity,135497803
tadalafil,CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,connectivity,110635
lecozotan,CC(CN(C1=CC=CC=N1)C(=O)C2=CC=C(C=C2)C#N)N3CCN(CC3)C4=C5C(=CC=C4)OCCO5,connectivity,10116877
buspirone,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,connectivity,2477
cannabidiol,CCCCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)C)O,connectivity,644019
tandospirone,C1CC2CC1C3C2C(=O)N(C3=O)CCCCN4CCN(CC4)C5=NC=CC=N5,connectivity,91273
fluvoxamine,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F,connectivity,5324346
pridopidine,CCCN1CCC(CC1)C2=CC(=CC=C2)S(=O)(=O)C,connectivity,9795739
hydromethylthionine,CN(C)C1=CC2=C(C=C1)NC3=C(S2)C=C(C=C3)N(C)C,connectivity,164695
masitinib,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC(=CS4)C5=CN=CC=C5,connectivity,10074640
nilotinib,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,connectivity,644241
saracatinib,CN1CCN(CC1)CCOC2=CC3=C(C(=C2)OC4CCOCC4)C(=NC=N3)NC5=C(C=CC6=C5OCO6)Cl,connectivity,10302451
