smiles,logbb,name,source
CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)(NC(=O)C(C4=CC=C(C=C4)O)C(=O)O)OC)OC2)C(=O)O,-2.52,moxalactam,B3DB(CC0)
CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O)O[C@H]3[C@H](C=C4)O,-2.15,schembl614298,B3DB(CC0)
CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)OC6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O,-2.09,morphine-6-glucuronide,B3DB(CC0)
CC1=NC=C(C=C1)CC2CNC(NC2=O)NCCCCC3=NC=C(C=C3C)Br,-1.88,"2-[4-(5-bromo-3-methylpyridin-2-yl)butylamino]-5-[(6-methylpyridin-3-yl)methyl]-1,3-diazinan-4-one",B3DB(CC0)
c1(c2c3n(c4c(C(N(C)C3)=O)c(Cl)ccc4)cn2)noc(C(O)(O)C)n1,-1.82,nan,B3DB(CC0)
CN1CC2=C(N=CN2C2=CC=CC(Cl)=C2C1=O)C1=NOC(=N1)[C@](C)(O)CO,-1.82,nan,B3DB(CC0)
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,-1.7,sucrose,B3DB(CC0)
C=CCC1=C(C(=CC=C1)/C=N\NC(=O)CN2CCN(CC2)CC3=CC=C(C=C3)S(=O)(=O)N)O,-1.67,schembl18285121,B3DB(CC0)
C1=CC(=CC=C1CNC2=NC3=C(C=CC(=C3)C(F)(F)F)N=C2C(=O)O)C(F)(F)F,-1.57,y22,B3DB(CC0)
CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)[O-])OC2C(C(C(C(O2)COS(=O)(=O)[O-])O)O)O)O.[Na+].[Na+],-1.54,l4,B3DB(CC0)
C1=CC(=C(C=C1C2=CSC(=N2)N=C(N)N)O)O,-1.54,guanidinothiazol analogue 17 ac1lbibi -- pubmed,B3DB(CC0)
CCNC1=C(N=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=CC(=C4)NS(=O)(=O)C,-1.52,chembl151192,B3DB(CC0)
O=C1C2=C(C(O)=C(/C=N/N3CCN(C)CC3)C(NC(C/C(C)=C\C=C\[C@@H](C)C4O)=O)=C5O)C5=C(O)C(C)=C2O[C@]1(C)O/C=C/[C@@H]([C@H]([C@H]([C@H]([C@H]([C@@H]4C)O)C)OC(C)=O)C)OC,-1.52,rifampicin,B3DB(CC0)
CC(C)CCCCCCCCC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC2=C3C=C4C=C2OC5=C(C=C(C=C5)[C@H]([C@H]6C(=O)N[C@@H](C7=C(C(=CC(=C7)O)O[C@@H]8[C@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)C9=C(C=CC(=C9)[C@H](C(=O)N6)NC(=O)[C@@H]4NC(=O)[C@@H]1C2=C(C(=CC(=C2)OC2=C(C=CC(=C2)[C@H](C(=O)N[C@H](CC2=CC=C(O3)C=C2)C(=O)N1)NC)O)O)Cl)O)C(=O)NCCCN(C)C)O)Cl)CO)O)O,-1.48,"mdl 63,246",B3DB(CC0)
CC1C(=NC=N1)CSCCNC(=NC)NC#N,-1.42,cimetidine,B3DB(CC0)
CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C,-1.4,vardenafil,B3DB(CC0)
C1=CC=[N+]2C=C(NC2=C1)CN,-1.4,sbb079053,B3DB(CC0)
C1=CC(=CC=C1C(=O)O)N,-1.4,4-aminobenzoic acid,B3DB(CC0)
CC1=CC=CC=C1N=C2N(CCN2C)C,-1.39,"1,3-dimethyl-2-(2-methylphenylimino)imidazolidine",B3DB(CC0)
C1=C(C=C(C2=C1NC(=CC2=O)C(=O)O)Cl)Cl,-1.33,dcka,B3DB(CC0)
CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,-1.3,sildenafil,B3DB(CC0)
CC1=CC(=C(C=C1)N=C2N(CCN2C)C)C,-1.3,"n-(2,4-dimethylphenyl)-1,3-dimethylimidazolidin-2-imine",B3DB(CC0)
C1=COC(=C1)C2=NN3C(=NC(=NC3=N2)NCCC4=CC=C(C=C4)O)N,-1.3,17 zm0241385,B3DB(CC0)
C1C[C@H](O[C@H]1CO)N2C=NC3=C2N=CNC3=O,-1.3,l-dideoxyinosine,B3DB(CC0)
CN\C(NCCSC1=CC=C(CN(C)C)O1)=C\[N+]([O-])=O,-1.23,nan,B3DB(CC0)
