# Multi-modulator anchor table for V6.B Gate 2 (multi-modulator curation).
# Source: research/4-tier/Cluster D Methodology Report - Gate 3 and Gate 2.md, Section 4.
# Sign convention: pooled_g encoded so positive = pro-cognitive (improvement);
#                  inhibitor-induced gains are reported as positive g.
# Phase III failures encoded with g ~ 0 +/- small SD to anchor the high-affinity-binder-but-no-clinical-benefit tail.
# k = number of independent RCTs / pooled studies. CI on g where available.
# Conversion: MD -> g via Hedges g with pooled SD ~ 7.5 for ADAS-Cog (Roberts 2020 / MH1+MH2 doc Section 5).
# Target UniProts: CHRM1=P11229, CHRM4=P08173, HTR1A=P08908, HTR2A=P28223, HTR4=Q13639, HTR6=P50406, HTR7=P34969,
#                  GABRA1=P14867, GABRA2=P47869, GABRA5=P31644, GRIN1=Q05586, MAOA=P21397, MAOB=P27338, COMT=P21964.
target_uniprot,target_gene,compound,mechanism,pooled_g,CI_lo,CI_hi,k,endpoint,citation_doi,population,notes
P36544,CHRNA7,Encenicline,alpha7-nAChR partial agonist,0.0,-0.1,0.1,2,MCCB,PMID:26089183,SCZ,Phase III null (EVP-6124-015/016); Phase II g~+0.30
P36544,CHRNA7,ABT-126,alpha7-nAChR partial agonist,0.0,-0.15,0.15,1,MCCB,Haig2016,SCZ,Null Phase II
P36544,CHRNA7,Varenicline,alpha4beta2-and-alpha7 partial agonist,0.2,0.05,0.35,1,RAVLT,Hong2011-ArchGenPsy68:1195,SCZ,Modest pro-cognitive
P36544,CHRNA7,Nicotine,nAChR agonist,0.35,0.15,0.55,1,CPT,Newhouse2012-Neurology78:91,MCI,Pro-cognitive in MCI
P22303,ACHE,Donepezil_10mg,AChE inhibitor,0.356,0.269,0.441,18,ADAS-Cog,10.1002/14651858.CD001190.pub3,AD,MD=-2.67 [CI -3.31 to -2.02]; g=MD/7.5
P22303,ACHE,Galantamine_16-24mg,AChE-inh + alpha7-PAM,0.368,0.312,0.423,12,ADAS-Cog,Hansen2008-DARE-NBK74974,AD,WMD=-2.76 [CI -3.17 to -2.34]; g=MD/7.5
P22303,ACHE,Rivastigmine_6-12mg,AChE-and-BChE inhibitor,0.401,0.295,0.507,10,ADAS-Cog,Hansen2008-DARE-NBK74974,AD,WMD=-3.01 [CI -3.80 to -2.21]; g=MD/7.5
P22303,ACHE,Donepezil_10mg_VaD,AChE inhibitor,0.295,0.18,0.409,3,ADAS-Cog,PMID:33704781,Vasc,Vascular dementia 10mg MD=-2.21
Q05586,GRIN1,Memantine_20mg_AD,NMDA uncompetitive antag,0.287,0.14,0.433,4,ADAS-Cog,10.1002/14651858.CD003154.pub6,AD,Mod-severe AD; 2.15 ADAS-Cog improvement
Q12879,GRIN2A,Memantine_20mg_AD,NMDA uncompetitive antag,0.287,0.14,0.433,4,ADAS-Cog,10.1002/14651858.CD003154.pub6,AD,Subunit attribution; same compound
