compound,role,target_gene,source,smiles,smiles_kind,cid,mw
vorinostat,engager,HDAC1,"FDA label (SAHA, pan-HDAC)",C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,connectivity,5311,264.32
romidepsin,engager,HDAC1,FDA label (class-I HDAC),CC=C1C(=O)NC(C(=O)OC2CC(=O)NC(C(=O)NC(CSSCCC=C2)C(=O)N1)C(C)C)C(C)C,connectivity,5352062,540.71
panobinostat,engager,HDAC1,FDA label (pan-HDAC),CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)C=CC(=O)NO,connectivity,6918837,349.43
belinostat,engager,HDAC1,FDA label (pan-HDAC),C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO,connectivity,6918638,318.35
entinostat,engager,HDAC1,class-I selective (HDAC1/3); ChEMBL,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,connectivity,4261,376.42
trichostatin a,engager,HDAC1,pan-HDAC tool; ChEMBL,CC(C=C(C)C=CC(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C,connectivity,444732,302.37
vorinostat,engager,HDAC2,pan-HDAC; ChEMBL,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,connectivity,5311,264.32
romidepsin,engager,HDAC2,class-I HDAC; ChEMBL,CC=C1C(=O)NC(C(=O)OC2CC(=O)NC(C(=O)NC(CSSCCC=C2)C(=O)N1)C(C)C)C(C)C,connectivity,5352062,540.71
panobinostat,engager,HDAC2,pan-HDAC; ChEMBL,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)C=CC(=O)NO,connectivity,6918837,349.43
entinostat,engager,HDAC2,class-I (HDAC1/3) cross-reacts HDAC2; ChEMBL,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,connectivity,4261,376.42
tubastatin a,engager,HDAC6,HDAC6-selective tool; ChEMBL,CN1CCC2=C(C1)C3=CC=CC=C3N2CC4=CC=C(C=C4)C(=O)NO,connectivity,49850262,335.41
ricolinostat,engager,HDAC6,HDAC6-selective (ACY-1215); ChEMBL,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=NC=C(C=N3)C(=O)NCCCCCCC(=O)NO,connectivity,53340666,433.51
nexturastat a,engager,HDAC6,HDAC6-selective tool; ChEMBL,CCCCN(CC1=CC=C(C=C1)C(=O)NO)C(=O)NC2=CC=CC=C2,connectivity,71462653,341.41
panobinostat,engager,HDAC6,pan-HDAC hits HDAC6; ChEMBL,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)C=CC(=O)NO,connectivity,6918837,349.43
decitabine,engager,DNMT1,FDA label (5-aza-2'-deoxycytidine),C1C(C(OC1N2C=NC(=NC2=O)N)CO)O,connectivity,451668,228.21
azacitidine,engager,DNMT1,FDA label (5-azacytidine),C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,connectivity,9444,244.21
zebularine,engager,DNMT1,DNMT inhibitor tool; ChEMBL,C1=CN(C(=O)N=C1)C2C(C(C(O2)CO)O)O,connectivity,100016,228.2
unc0638,engager,EHMT2,G9a/GLP inhibitor tool; ChEMBL,CC(C)N1CCC(CC1)NC2=NC(=NC3=CC(=C(C=C32)OC)OCCCN4CCCC4)C5CCCCC5,connectivity,46224516,509.74
unc0642,engager,EHMT2,G9a/GLP inhibitor (improved PK); ChEMBL,CC(C)N1CCC(CC1)NC2=NC(=NC3=CC(=C(C=C32)OC)OCCCN4CCCC4)N5CCC(CC5)(F)F,connectivity,53315878,546.71
bix-01294,engager,EHMT2,G9a inhibitor tool; ChEMBL,CN1CCCN(CC1)C2=NC3=CC(=C(C=C3C(=N2)NC4CCN(CC4)CC5=CC=CC=C5)OC)OC,connectivity,25150857,490.65
a-366,engager,EHMT2,G9a/GLP inhibitor; ChEMBL,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4,connectivity,76285486,329.44
bardoxolone methyl,engager,KEAP1,"NRF2 activator (covalent KEAP1, CDDO-Me); ChEMBL",CC1(CCC2(CCC3(C(C2C1)C(=O)C=C4C3(CCC5C4(C=C(C(=O)C5(C)C)C#N)C)C)C)C(=O)OC)C,connectivity,400769,505.7
dimethyl fumarate,engager,KEAP1,NRF2 activator (covalent KEAP1); FDA label,COC(=O)C=CC(=O)OC,connectivity,637568,144.13
sulforaphane,engager,KEAP1,NRF2 activator (covalent KEAP1),CS(=O)CCCCN=C=S,connectivity,5350,177.29
omaveloxolone,engager,KEAP1,NRF2 activator; FDA label (Friedreich ataxia),CC1(CCC2(CCC3(C(C2C1)C(=O)C=C4C3(CCC5C4(C=C(C(=O)C5(C)C)C#N)C)C)C)NC(=O)C(C)(F)F)C,connectivity,71811910,554.72
venetoclax,engager,BCL2,BCL2-selective BH3-mimetic; FDA label (ABT-199),CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C,connectivity,49846579,868.46
navitoclax,engager,BCL2,BCL2/BCL-xL/BCL-w BH3-mimetic (ABT-263); ChEMBL,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)NC(CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C,connectivity,24978538,974.63
abt-737,engager,BCL2,BCL2/BCL-xL BH3-mimetic tool; ChEMBL,CN(C)CCC(CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-],connectivity,11228183,813.45
navitoclax,engager,BCL2L1,"BCL-xL inhibitor (senolytic, ABT-263); ChEMBL",CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)NC(CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C,connectivity,24978538,974.63
a-1331852,engager,BCL2L1,BCL-xL-selective; ChEMBL,CC1=C(C=NN1CC23CC4CC(C2)CC(C4)C3)C5=C(N=C(C=C5)N6CCC7=C(C6)C(=CC=C7)C(=O)NC8=NC9=CC=CC=C9S8)C(=O)O,connectivity,71565985,658.83
wehi-539,engager,BCL2L1,BCL-xL-selective tool; ChEMBL,C1CC2=C(C=C(C=C2)C3=NC(=C(S3)CCCOC4=CC=C(C=C4)CN)C(=O)O)C(=NNC5=NC6=CC=CC=C6S5)C1,connectivity,71297207,583.74
abt-737,engager,BCL2L1,BCL2/BCL-xL tool; ChEMBL,CN(C)CCC(CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-],connectivity,11228183,813.45
"7,8-dihydroxyflavone",engager,NTRK2,"TrkB agonist (small molecule, BBB-penetrant)",C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3)O)O,connectivity,1880,254.24
larotrectinib,engager,NTRK2,pan-TRK ATP-site inhibitor; FDA label,C1CC(N(C1)C2=NC3=C(C=NN3C=C2)NC(=O)N4CCC(C4)O)C5=C(C=CC(=C5)F)F,connectivity,46188928,428.44
entrectinib,engager,NTRK2,pan-TRK inhibitor; FDA label,CN1CCN(CC1)C2=CC(=C(C=C2)C(=O)NC3=NNC4=C3C=C(C=C4)CC5=CC(=CC(=C5)F)F)NC6CCOCC6,connectivity,25141092,560.65
selitrectinib,engager,NTRK2,next-gen TRK inhibitor (LOXO-195); ChEMBL,CC1CCC2=C(C=C(C=N2)F)C3CCCN3C4=NC5=C(C=NN5C=C4)C(=O)N1,connectivity,129103609,380.43
