compound,assay_family,assay,species,direction,effect_detail,citation_short,pmid_doi,quote,caveat,source_lane,verification
7_8_dihydroxyflavone,dendritic_spine,"In vivo cranial-window two-photon imaging of spine and axonal bouton turnover in barrel cortex pyramidal neurons during chronic oral dosing, plus novel object recognition (mouse)",rodent,opens_window,"Chronic oral 7,8-DHF increased the GAIN (addition) rates of dendritic spines and of axonal boutons in barrel-cortex pyramidal neurons measured in real time, and improved object recognition memory in the same animals; TrkB expression in the imaged neurons was confirmed first.",Perez-Rando 2018 Brain Struct Funct,PMID 29500536 / doi:10.1007/s00429-018-1637-x,"DHF increased the gain rates of spines and axonal boutons, as well as improved object recognition memory","RODENT ONLY. One of the very few rows pairing a structural-plasticity readout with a cognitive readout IN THE SAME ANIMALS, which is why it is here - but the cognitive endpoint is novel object recognition, which is exploration-based and confounded by locomotion/novelty-seeking, and no washout (post-treatment) test is reported, so it is an ON-DRUG effect, not a durable window. Separately, 7,8-DHF's status as a direct TrkB agonist is contested in the literature; the caveat for the DTI head is that its target assignment here may itself be wrong.",assay-spine-pnn,unverified_single_pass
doi,dendritic_spine,"3D automated spine-subtype quantification in AAV-labelled CaMKIIa+ frontal cortex pyramidal neurons after a single dose, in 5-HT2AR-/- vs wild-type mice; plus cued fear extinction",rodent,opens_window,"A single DOI dose selectively increased stubby and dynamic thin spines but NOT mature mushroom spines in frontal cortex, and accelerated fear extinction; both effects were absent in 5-HT2AR-/- mice. Chromatin/enhancer changes at synaptic-assembly genes persisted for days after the single exposure.",de la Fuente Revenga 2021 Cell Rep,PMID 34686347 / doi:10.1016/j.celrep.2021.109836,single administration of the psychedelic DOI produces fast-acting effects on frontal cortex dendritic spine structure and acceleration of fear extinction,"RODENT ONLY. The spine-SUBTYPE decomposition is the point: the increase is in immature/labile (stubby, thin) spines, not mushroom spines - so 'increases spine density' and 'increases persistent synapses' are different claims, and a compound-level plasticity score collapsing them is measuring the wrong thing. Same paper reports recognition memory and sensorimotor gating UNCHANGED, i.e. structural plasticity without a cognitive gain - a direct counterexample to the pipeline's implicit spine-to-cognition inference. DOI is a research chemical with no clinical path.",assay-spine-pnn,unverified_single_pass
ibogaine,dendritic_spine,Same cultured rat cortical neuron neuritogenesis/spinogenesis screen as the LSD/DMT/DOI panel (Ly 2018 head-to-head),rodent,no_effect,"Ibogaine was the one compound in the psychedelic panel with no measurable effect on structural plasticity, despite the anti-addictive phenotype the screen was designed to explain. Its metabolite noribogaine WAS active (dendritic arbor complexity, EC50 comparable to ketamine), and ketanserin blocked noribogaine's effect - the authors conclude noribogaine may be the active species in vivo.",Ly 2018 Cell Rep (ibogaine arm),PMID 29898390 / doi:10.1016/j.celrep.2018.05.022,was the only psychedelic tested that had absolutely no effect,"RODENT ONLY, in vitro. This is a NEGATIVE inside a positive paper - it never reaches an abstract and will be missing from any ledger built by abstract-scraping, which is a live contamination risk for the pipeline. It also breaks the parent-compound assumption: a compound-level plasticity label for 'ibogaine' is WRONG in direction (parent inert, metabolite active). Any DTI or repurposing head that scores ibogaine from ibogaine's own structure is scoring the wrong molecule. The finding is single-lab, single-assay, no independent replication found.",assay-spine-pnn,unverified_single_pass
ketamine,dendritic_spine,"Two-photon imaging of apical-tuft spine density on layer V mPFC pyramidal neurons, 24 h after a single systemic dose (rat)",rodent,opens_window,"Single ketamine dose (10 mg/kg) increased spine density in distal and proximal apical-tuft segments of layer V mPFC neurons 24 h post-injection, plus increased mushroom-spine population and 5-HT/hypocretin-induced EPSC frequency; fully blocked by ICV rapamycin (0.2 nmol). Full text reports n=4-6 animals, ANOVA, *P<0.05 / **P<0.01.",Li 2010 Science,PMID 20724638 / doi:10.1126/science.1190287,increased synaptic signaling proteins and increased number and function of new spine synapses in the prefrontal cortex of rats,"RODENT ONLY. Abstract carries no effect size; the numbers above come from the PMC figure legends (PMC3116441), not from a reported CI. This is the founding citation for 'ketamine = psychoplastogen', but Zhornitsky 2023 (PMID 37435405) reviewed 84 studies and found MIXED spine/synaptic-marker results for single-dose ketamine under BASAL (non-stressed) conditions - i.e. exactly the healthy-adult condition G1 cares about. Treating this row as a healthy-organism window-opening effect over-reads it.",assay-spine-pnn,unverified_single_pass
ketamine,dendritic_spine,"Chronic longitudinal two-photon imaging of mPFC spine formation/elimination with optogenetic ablation of newly formed spines (mouse, corticosterone stress model)",rodent,opens_window,Antidepressant-dose ketamine selectively rescued spines that stress had eliminated and restored coordinated multicellular ensemble activity; targeted ablation of the ketamine-induced new spines abolished the MAINTENANCE of the behavioural effect at 2-7 days but left its INDUCTION intact.,Moda-Sava 2019 Science,PMID 30975859 / doi:10.1126/science.aat8078,Prefrontal spinogenesis was required for the long-term maintenance of antidepressant effects on motivated escape behavior but not for their initial induction,"RODENT ONLY, and a stress/depression model - NOT a healthy adult, so it does not touch the G1 zero-row ledger. The dissociation is the load-bearing part: structural plasticity was necessary for DURABILITY but not for the acute effect. Any pipeline that scores a compound as window-opening from an ACUTE readout is scoring the wrong half of this mechanism. Effect sizes are in figures, not the abstract.",assay-spine-pnn,unverified_single_pass
lsd_dmt_doi,dendritic_spine,"Dendritic arbor complexity (Sholl) and spinogenesis in cultured rat cortical neurons, plus in vivo spine/synapse measures; ketanserin-blockable, TrkB/mTOR/5-HT2A dependent",rodent,opens_window,"LSD, DMT and DOI each robustly increased neuritogenesis and/or spinogenesis in vitro and in vivo with increased synapse number and function (fluorescence microscopy + electrophysiology); effects blocked by ketanserin and by TrkB/mTOR pathway inhibition. Noribogaine increased dendritic arbor complexity with an EC50 comparable to ketamine.",Ly 2018 Cell Rep,PMID 29898390 / doi:10.1016/j.celrep.2018.05.022,serotonergic psychedelics are capable of robustly increasing neuritogenesis and/or spinogenesis both in vitro and in vivo,"RODENT ONLY, and the bulk of the compound panel is CULTURED NEURONS at ~10 uM - concentrations with no defensible relationship to human exposure. Abstract reports no effect sizes. Structural plasticity in a dish is the weakest possible evidence for a cognitive window and should be down-weighted relative to the in vivo OD and behavioural rows; using it to label LSD/DMT/DOI as window-openers at compound level imports the in vitro artefact risk wholesale.",assay-spine-pnn,unverified_single_pass
psilocybin,dendritic_spine,"Chronic two-photon imaging of apical dendritic spines of layer 5 pyramidal neurons in mouse medial frontal cortex, single dose, followed to 1 month",rodent,opens_window,"Single dose produced ~10% increases in BOTH spine size and spine density, driven by an elevated spine formation rate; change present within 24 h and still present 1 month later. Also ameliorated a stress-related behavioural deficit and elevated excitatory neurotransmission.",Shao 2021 Neuron,PMID 34228959 / doi:10.1016/j.neuron.2021.06.008,"a single dose of psilocybin led to ~10% increases in spine size and density, driven by an elevated spine formation rate","RODENT ONLY. The ~10% is the strongest durability evidence in the lane (1 month, structural) but it is STRUCTURE, not cognition - no cognitive-gain endpoint was measured, so it cannot be promoted into the G1 durable-gain ledger. Note the direction of inference the pipeline must not make: persistent spines in mouse mPFC is not evidence of a persistent human cognitive window, and there is no human assay that could test it (see G4).",assay-spine-pnn,unverified_single_pass
scopolamine,dendritic_spine,Whole-cell patch clamp + two-photon image analysis of spine synapse number and function on layer V PFC pyramidal neurons after a single low dose (rat),rodent,opens_window,A single low dose rapidly increased mTORC1 signalling (phospho-mTORC1 pathway proteins) and the number and function of spine synapses on layer V PFC pyramidal neurons; the behavioural (forced swim) effect was blocked by an mTORC1 inhibitor and by an AMPA receptor antagonist.,Voleti 2013 Biol Psychiatry,PMID 23751205 / doi:10.1016/j.biopsych.2013.04.025,"a single, low dose of scopolamine rapidly increases mTORC1 signaling and the number and function of spine synapses in layer V pyramidal neurons","RODENT ONLY, no effect sizes in the abstract. Critical asymmetry for this project: scopolamine is the canonical AMNESTIC in human cognition studies - it reliably IMPAIRS episodic memory in healthy adults - while here it increases spine synapses. So the same compound scores window-opening on a structural assay and cognition-impairing on a human behavioural assay. That is a G3-class sign flip across assay families, from a different direction than the donepezil case, and it means structural-plasticity evidence cannot be used as a directional prior for cognitive enhancement.",assay-spine-pnn,unverified_single_pass
tabernanthalog,dendritic_spine,"Dendritic spine density in DIV20 rat cortical cultures plus transcranial two-photon imaging of spine formation/elimination in mouse primary sensory cortex, 24 h after a single dose",rodent,opens_window,"TBG increased dendritic spine density in mature (DIV20) cortical cultures to an extent comparable to ibogaine, and in vivo both TBG and DOI increased the spine FORMATION rate with no effect on spine elimination 24 h after a single dose; dendritic growth was blocked by the 5-HT2A antagonist ketanserin.",Cameron 2021 Nature,PMID 33299186 / doi:10.1038/s41586-020-3008-z,"tabernanthalog was found to promote structural neural plasticity, reduce alcohol- and heroin-seeking behaviour, and produce antidepressant-like effects","RODENT ONLY. Exact n and p values are deferred to Source Data/Supplementary Table 1 in the paper, so no statistic is quotable from the text itself. Direct internal conflict with the ibogaine row above: here TBG's spine effect is benchmarked AS COMPARABLE TO IBOGAINE in culture, while Ly 2018 scored ibogaine as having no effect in the same class of assay - so the two UC Davis papers do not agree on the ibogaine reference point. Also: the senior author co-founded a company developing these compounds (declared), and TBG is a novel chemical entity with no human data at all.",assay-spine-pnn,unverified_single_pass
chondroitinase_abc,fear_extinction,Extinction of cued fear conditioning in adult mice after chondroitinase-ABC digestion of PNNs in the basolateral amygdala; erasure vs suppression tested by reinstatement/spontaneous recovery,rodent,opens_window,"PNN formation in amygdala coincided with the developmental switch from erasable to permanent fear memory. In adults, chABC digestion of PNNs rendered fear memories acquired AFTER treatment susceptible to erasure by extinction (no spontaneous recovery/reinstatement), reproducing the juvenile phenotype.",Gogolla 2009 Science,PMID 19729657 / doi:10.1126/science.1174146,"In adults, degradation of PNNs by chondroitinase ABC specifically rendered subsequently acquired fear memories susceptible to erasure","RODENT ONLY. Note the temporal restriction that is usually dropped in citation: only memories acquired AFTER PNN removal became erasable - already-consolidated memories were not. A compound-level 'opens a plasticity window' label loses this, and the distinction is the whole clinical proposition. Also a bacterial enzyme (same G2 unrepresentability as the row above), and the readout is a fear/emotional memory window with no cognitive-performance component, so it is orthogonal to healthy-adult cognitive enhancement despite scoring 'opens'.",assay-spine-pnn,unverified_single_pass
