compound,smiles
baicalin,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O
citalopram,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
d_amphetamine,CC(CC1=CC=CC=C1)N
diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
doi,CC(CC1=CC(=C(C=C1OC)I)OC)N
donepezil,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC
fluoxetine,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
ibogaine,CCC1CC2CC3C1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC
ketamine,CNC1(CCCCC1=O)C2=CC=CC=C2Cl
levodopa,C1=CC(=C(C=C1CC(C(=O)O)N)O)O
mmp9_inhibitor_i,CCN(CC)CC1=CC(=C(C(=C1)C)N(CC2=CC=CC=C2)S(=O)(=O)C3=CC=C(C=C3)OC)C(=O)NO
modafinil,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N
nicotine,CN1CCCC1C2=CN=CC=C2
physostigmine,CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C
psilocybin,CN(C)CCC1=CNC2=C1C(=CC=C2)OP(=O)(O)O
rivastigmine,CCN(C)C(=O)OC1=CC=CC(=C1)C(C)N(C)C
scopolamine,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4
tabernanthalog,CN1CCC2=C(CC1)NC3=C2C=CC(=C3)OC
trichostatin_a,CC(C=C(C)C=CC(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C
valproic_acid,CCCC(CCC)C(=O)O
