ledger_compound,search_term,prediction,pred_g,pred_ci_lo,pred_ci_hi,ledger_ma_year,results_year,independent_of_ledger,cognitive_primary,patient_population,usable,exclusion_reason,nct,title,status,results_posted,completion,primary_completion,enrollment,phase,interventions,primary_outcomes,healthy_flag,eligibility
caffeine,caffeine,POSITIVE,0.28,0.21,0.36,2025,2018,False,True,,False,results available 2018 vs ledger meta-analysis 2025; could have been included in the pooled estimate,NCT02974114,Exploratory Study to Investigate Cognition Function and Mobility in Individuals With Pain,TERMINATED,2018-08-28,2017-02-06,2017-02-06,21,PHASE4,Paracetamol and caffeine; Paracetamol; Placebo,Change From Pain Free State (Day 3) in Error Adjusted Simple Reaction Time (SRT) in the Pain State (Day 2) | Change From Pain-free State (Day 3) in Reaction Time in the Pain State (Day 2) | Change From Pain-free State (Day 3) in Number of One Touch Stockings (OTS) of Cambridge Assessment Problems (on Which the First Box Choice Made Was Correct) in the Pain State (Day 2) | Change From Pain-free State (Day 3) in Attention Switching Task (AST) Congruency Cost in the Pain State (Day 2) | Change From Pain-free State (Day 3) in Spatial Working Memory (SWM) Between Errors in the Pain State (Day 2) | Change From Pain-free State (Day 3) in Rapid Visual Information Processing A Prime (RVPA) in the Pain State (Day 2),True,"Inclusion Criteria

* Demonstrates understanding of the study procedures, restrictions and willingness to participate as evidenced by voluntary written informed consent and has received a signed and dated copy of the informed consent form.
* Aged between 18-65 years.
* Participant is male or female.
* Understands and is willing, able and likely to comply with all study procedures and restrictions.
* Adequately completes cognition and mobility familiarisation tasks in the opinion of the investigator.
* Good general and mental health with, in the opinion of the investigator or medically qualified designee: No clinically significant and relevant abnormalities in medical history or upon physical examination; absence of any condition that might impact on the participant's safety or wellbeing or affect the individual's ability to understand and follow study procedures and requirements; BMI \>18.5 and \<30 kg/m2
* VISIT 1 ONLY - Has experienced a minimum of two recurrent, acute pain episodes within the past 3 months or is currently suffering from a flare up episode of recurrent, acute pain; VISIT 2 ONLY - A score ≥5 to question 6 (rated on scale 0-10) on the Brief Pain Inventory - Short F"
caffeine,caffeine,POSITIVE,0.28,0.21,0.36,2025,2017,False,True,,False,results available 2017 vs ledger meta-analysis 2025; could have been included in the pooled estimate,NCT02461693,Evaluating the Role of Expectations in Response to Caffeine Consumption: An RCT,COMPLETED,2017-07-12,2015-10,2015-10,205,NA,Caffeine; Placebo,"Mood State Score on POMS-2 Test | Vigilance Score on Computer-based Test Using Random, Visual Stimulus: Proportion Correct (Out of 60) | Vigilance Score on Computer-based Test Using Random, Visual Stimulus: Number Correct, Number of False Alarm Hits | Vigilance Score on Computer-based Test Using Random, Visual Stimulus: Mean Time to a Correct Hit",True,"Inclusion Criteria:

* 18 years-old or older
* available to participate on the dates specified
* willing to take a caffeine or placebo pills at study session
* willingness to abstain from caffeine for 12 hours prior to study visit (8:30pm-8:30am)
* UAB employees or students with some college education (including current enrollment)

Exclusion Criteria:

* self-reported use of ADHD medication
* self-reported use of anxiety medication
* self-reported use of sleep medication
* self-reported use of nicotine products
* self-reported lactose intolerance
* self-reported uncorrected vision
* self-reported pregnancy or trying to become pregnant"
caffeine,caffeine,POSITIVE,0.28,0.21,0.36,2025,2024,False,False,,False,primary outcome is not a cognitive measure; matched only via the registry's term expansion (attention -> concentration)results available 2024 vs ledger meta-analysis 2025; could have been included in the pooled estimate,NCT05067439,"A Study to Estimate the Effect of Multiple Dose Abrocitinib on Caffeine, Efavirenz, and Omeprazole in Healthy Participants",COMPLETED,2024-05-31,2022-02-26,2022-02-26,26,PHASE1,Abrocitinib; Omeprazole; Caffeine; Efavirenz,Area Under the Plasma Concentration-Time Profile From Time 0 Extrapolated to Infinite Time (AUCinf) of Omeprazole | AUCinf Corrected for Residual Concentrations (AUCinfCR) of Caffeine | Area Under the Plasma Concentration-Time Profile From Time 0 to the Time of the Last Quantifiable Concentration Corrected for Residual Concentrations (AUClastCR) of Efavirenz,True,"Inclusion Criteria:

1. Participants must be ≥18 years of age at the time of signing the Informed consent document (ICD).
2. Male and female participants who are healthy as determined by medical evaluation including a detailed medical history, complete physical examination, laboratory tests, and cardiovascular tests.
3. Participants who are willing and able to comply with all scheduled visits, treatment plan, laboratory tests, lifestyle considerations, and other study procedures.
4. Body mass index (BMI) of 17.5 to 32 kg/m2; and a total body weight \>50 kg (110 lb).
5. Capable of giving signed informed consent as described in Appendix 1, which includes compliance with the requirements and restrictions listed in the ICD and in this protocol.

Exclusion Criteria:

1. Evidence or history of clinically significant hematological, renal, endocrine, neurological diseases, or other systems diseases, allergic diseases including drug allergies but excluding untreated asymptomatic seasonal allergies at the time of dosing
2. Subjects with moderate to severe gastroesophageal reflux disease (GERD) symptoms, or any condition affecting drug absorption e.g. gastrectomy, cholecystectomy
3. History o"
caffeine,caffeine,POSITIVE,0.28,0.21,0.36,2025,2025,False,False,,False,primary outcome is not a cognitive measure; matched only via the registry's term expansion (attention -> concentration)results available 2025 vs ledger meta-analysis 2025; could have been included in the pooled estimate,NCT06215430,"A Study of Effect of Multiple Doses of LOXO-305 on the Pharmacokinetics of Single Oral Doses of CYP1A2, CYP2C9, CYP2C19 Substrates in Healthy Participants",COMPLETED,2025-03-10,2021-04-15,2021-04-15,16,PHASE1,Caffeine Tablet; Omeprazole capsule; Warfarin tablet; Pirtobrutinib,"Area Under the Concentration Time Curve (AUC) From Hour 0 to 24 Hours Post-Dose (AUC0-24): Caffeine | Area Under the Concentration Time Curve (AUC) From Hour 0 to 24 Hours Post-Dose (AUC0-24): Paraxanthine | Area Under the Concentration Time Curve (AUC) From Hour 0 to 24 Hours Post-Dose (AUC0-24): Omeprazole | Area Under the Concentration Time Curve (AUC) From Hour 0 to 24 Hours Post-Dose (AUC0-24): Warfarin | Area Under the Concentration Time Curve (AUC) From Hour 0 to 24 Hours Post-Dose (AUC0-24): Pirtobrutinib | Area Under the Concentration-time Curve (AUC), From Hour 0 to the Last Measurable Concentration (AUC0-t): Caffeine | Area Under the Concentration-time Curve (AUC), From Hour 0 to the Last Measurable Concentration (AUC0-t): Paraxanthine | Area Under the Concentration Time Curve (AUC) From Hour 0 to the Last Measurable Concentration (AUC0-t): Omeprazole | Area Under the Concentration Time Curve (AUC) From Hour 0 to the Last Measurable Concentration (AUC0-t): Warfarin | Area Under the Concentration Time Curve (AUC) From Hour 0 to the Last Measurable Concentration (AUC0-t): Pirtobrutinib | Area Under the Concentration Time Curve (AUC) From Hour 0 Extrapolated to Infinity (AUC0-inf): Caffeine | Area Under the Concentration Time Curve (AUC) From Hour 0 Extrapolated to Infinity (AUC0-inf): Paraxanthine | Area Under the Concentration Time Curve (AUC) From Hour 0 Extrapolated to Infinity (AUC0-inf): Omeprazole | Area Under the Concentration Time Curve (AUC) From Hour 0 Extrapolated to Infinity (AUC0-inf): Warfarin | Percentage Extrapolation for AUC0-inf (%AUCextrap): Caffeine | Percentage Extrapolation for AUC0-inf (%AUCextrap): Paraxanthine | Percentage Extrapolation for AUC0-inf (%AUCextrap): Omeprazole | Percentage Extrapolation for AUC0-inf (%AUCextrap): Warfarin | Apparent Systemic Clearance (CL/F): Caffeine | Apparent Systemic Clearance (CL/F): Omeprazole | Apparent Systemic Clearance (CL/F): Warfarin | Apparent Systemic Clearance (CL/F): Pirtobrutinib | Maximum Observed Plasma Concentration (Cmax): Caffeine | Maximum Observed Plasma Concentration (Cmax): Paraxanthine | Maximum Observed Plasma Concentration (Cmax): Omeprazole | Maximum Observed Plasma Concentration (Cmax): Warfarin | Maximum Observed Plasma Concentration (Cmax): Pirtobrutinib | Time to Maximum Observed Plasma Concentration (Tmax): Caffeine | Time to Maximum Observed Plasma Concentration (Tmax): Paraxanthine | Time to Maximum Observed Plasma Concentration (Tmax): Omeprazole | Time to Maximum Observed Plasma Concentration (Tmax): Warfarin | Time to Maximum Observed Plasma Concentration (Tmax): Pirtobrutinib | Apparent Terminal Elimination Rate Constant (λZ): Caffeine | Apparent Terminal Elimination Rate Constant (λZ): Paraxanthine | Apparent Terminal Elimination Rate Constant (λZ): Omeprazole | Apparent Terminal Elimination Rate Constant (λZ): Warfarin | Apparent Volume of Distribution at Terminal Phase (Vz/F): Caffeine | Apparent Volume of Distribution at Terminal Phase (Vz/F): Omeprazole | Apparent Volume of Distribution at Terminal Phase (Vz/F): Warfarin | Metabolite to Parent Drug AUC Ratio (MRAUC): AUC Ratio of Paraxanthine to Caffeine | Mean Residence Time (MRT): Caffeine | Mean Residence Time (MRT): Paraxanthine | Mean Residence Time (MRT): Omeprazole | Mean Residence Time (MRT): Warfarin | Apparent Terminal Elimination Half-Life (t1/2): Caffeine | Apparent Terminal Elimination Half-Life (t1/2): Paraxanthine | Apparent Terminal Elimination Half-Life (t1/2): Omeprazole | Apparent Terminal Elimination Half-Life (t1/2): Warfarin",True,"Inclusion Criteria:

* Must have Body mass index (BMI) within the range of 18.0 to 32.0 kilograms per square meter (kg/m\^2), inclusive.
* Male and female participants in good health, determined by no clinically significant findings from medical history, 12-lead Electrocardiogram (ECG), vital sign measurements, or clinical laboratory evaluations as assessed by the investigator.
* Female participants of non-childbearing potential and male participants who follow standard contraceptive methods.
* Must have comply with all study procedures, including the 23-night stay at the Clinical Research Unit (CRU) and follow-up phone call.

Exclusion Criteria:

* History or presence of any diseases or conditions of clinical significance by the Investigator (or designee) and/or Sponsor.
* Known ongoing alcohol and/or drug abuse within 2 years prior to Screening.
* History of significant hypersensitivity, intolerance, or allergy to any drug compound, food, or other substance, unless approved by the Investigator (or designee)."
caffeine,caffeine,POSITIVE,0.28,0.21,0.36,2025,2019,False,False,,False,primary outcome is not a cognitive measure; matched only via the registry's term expansion (attention -> concentration)results available 2019 vs ledger meta-analysis 2025; could have been included in the pooled estimate,NCT01275170,A Single-Dose Study to Investigate the Pharmacokinetics of MK-7655 in Participants With Impaired Renal Function (MK-7655-005),COMPLETED,2019-07-19,2012-03-05,2012-03-05,49,PHASE1,MK-7655; Imipenem + Cilastatin; Caffeine; Midazolam; Omeprazole,Part 1: Area Under the Plasma Concentration-time Curve From Dosing to Infinity (AUC0-inf) of MK-7655 in Combination With PRIMAXIN® | Dialysis Clearance (CLD) of MK-7655 in Participants With End-stage Renal Diseases Requiring Hemodialysis (ESRD/HD) | Extraction Coefficient of MK-7655 in Participants With End-stage Renal Diseases Requiring Hemodialysis (ESRD/HD),True,"Inclusion criteria

* Participants of reproductive potential (male or female) must be willing to use contraception.
* Body Mass Index (BMI) ≤40 kg/m\^2
* Weight \>60 kg at screening visit
* No clinically significant abnormality on electrocardiogram (ECG) at screening visit and/or prior to administration of the initial dose of study drug
* Panels A-D: smokers will be limited to no more that 10 cigarettes per day.
* Panels E-H: nonsmoker or has not used nicotine for at least 6 months
* In good health (stable health for participants with renal impairment)

Exclusion criteria

* Pregnant or breastfeeding.
* History of recent stroke, chronic seizures, or major neurological disorder
* History of clinically significant endocrine, gastrointestinal, cardiovascular, hematological, immunological, respiratory, or genitourinary abnormalities or diseases
* History of malignant neoplastic disease. Exceptions: (1) adequately treated non-melanomatous skin carcinoma or carcinoma in situ of the cervix; (2) other malignancies that have been successfully treated ≥10 years prior to the screening visit
* Panels A-D: Use of any medication (prescription or non-prescription) or herbal remedies (such as St. "
caffeine,caffeine,POSITIVE,0.28,0.21,0.36,2025,2017,False,False,,False,primary outcome is not a cognitive measure; matched only via the registry's term expansion (attention -> concentration)results available 2017 vs ledger meta-analysis 2025; could have been included in the pooled estimate,NCT02629354,To Determine Blood Concentrations of Ibuprofen and Caffeine in a Tablet Against Ibuprofen Alone From Another Tablet,COMPLETED,2017-03-16,2016-01,2016-01,36,PHASE1,Ibuprofen; Caffeine; Ibuprofen,"Maximum Observed Plasma Concentration (Cmax) of S-ibuprofen | Cmax of R-ibuprofen | Cmax of Ibuprofen | Area Under the Plasma Concentration of S-ibuprofen Versus Time Curve, From Time Zero to t (AUC0-t) | AUC0-t of R-ibuprofen | AUC0-t of Ibuprofen",True,"Inclusion criteria:

* Healthy males and females, 18 to 50 years (inclusive) at time of screening.
* Body Mass Index (BMI) between 18.5 and 29.9 kg/m2 (inclusive).
* Body mass not less than 50 kg.
* Medical history, vital signs, physical examination, standard 12-lead electrocardiogram (ECG) and laboratory investigations must be clinically acceptable or within laboratory reference ranges for the relevant laboratory tests, unless the PI considers the deviation to be irrelevant for the purpose of the study.
* Non-smokers and mild or moderate smokers (\<= 10 cigarettes or pipes per day). Further inclusion criteria apply

Exclusion criteria:

* Evidence of psychiatric disorder, antagonistic personality, poor motivation, emotional or intellectual problems likely to limit the validity of consent to participate in the study or limit the ability to comply with protocol requirements.
* Current alcohol use \> 21 units of alcohol per week for males and \> 14 units of alcohol per week for females. One unit is equal to beer \[200 mL/10 ounces\], wine \[100 mL/4 ounces\], or distilled spirits \[25 mL/1 ounce\]) per day
* Regular exposure to substances of abuse (other than alcohol) within the past"
caffeine,caffeine,POSITIVE,0.28,0.21,0.36,2025,2022,False,False,,False,primary outcome is not a cognitive measure; matched only via the registry's term expansion (attention -> concentration)results available 2022 vs ledger meta-analysis 2025; could have been included in the pooled estimate,NCT04425902,"Evaluation of Pharmacokinetic Interaction Between GSK3640254 and Caffeine, Metoprolol, Montelukast, Flurbiprofen, Omeprazole, Midazolam, Digoxin, and Pravastatin in Healthy Adults",COMPLETED,2022-05-23,2021-03-10,2021-03-10,20,PHASE1,GSK3640254 200 mg; Caffeine 200 mg; Metoprolol 100 mg; Montelukast 10 mg; Flurbiprofen 100 mg; Omeprazole 40 mg; Midazolam 5 mg (2.5 mL); Digoxin 0.25 mg; Pravastatin 40 mg,Area Under the Plasma Concentration-time Curve (AUC) From Time Zero to Time t (AUC[0-t]) for Caffeine | AUC From Time Zero Extrapolated to Infinity (AUC[0-infinity]) for Caffeine | Maximum Observed Plasma Concentration (Cmax) for Caffeine | Time to Cmax (Tmax) for Caffeine | Apparent Terminal Phase Half-life (t1/2) for Caffeine | AUC(0-t) for Metoprolol | AUC(0-infinity) for Metoprolol | Cmax for Metoprolol | Tmax for Metoprolol | t1/2 for Metoprolol | AUC(0-t) for Montelukast | AUC(0-infinity) for Montelukast | Cmax for Montelukast | Tmax for Montelukast | t1/2 for Montelukast | AUC(0-t) for Flurbiprofen | AUC(0-infinity) for Flurbiprofen | Cmax for Flurbiprofen | Tmax for Flurbiprofen | t1/2 for Flurbiprofen | AUC(0-t) for Omeprazole | AUC(0-infinity) for Omeprazole | Cmax for Omeprazole | Tmax for Omeprazole | t1/2 for Omeprazole | AUC(0-t) for Midazolam | AUC(0-infinity) for Midazolam | Cmax for Midazolam | Tmax for Midazolam | t1/2 for Midazolam | AUC(0-t) for Digoxin | AUC(0-infinity) for Digoxin | Cmax for Digoxin | Tmax for Digoxin | t1/2 for Digoxin | AUC(0-t) for Pravastatin | AUC(0-infinity) for Pravastatin | Cmax for Pravastatin | Tmax for Pravastatin | t1/2 for Pravastatin,True,"Inclusion Criteria:

* Participant must be 18 to 50 years of age inclusive, at the time of signing the informed consent.
* Participants who are overtly healthy as determined by the investigator or medically qualified designee based on a medical evaluation including medical history, physical examination (including cardiopulmonary examination), laboratory tests, and cardiac monitoring (history and ECG).
* Body weight more than or equal to (\>=) 50.0 kilograms (kg) (110 pounds \[lbs\]) for men and \>=45.0 kg (99 lbs) for women and body mass index within the range 18.5 to 31.0 kilogram per square meter (kg/m\^2) (inclusive).
* Contraceptive use by men or women should be consistent with local regulations regarding the methods of contraception for those participating in clinical studies.
* Male participants should not engage in intercourse while confined in the clinic. There is no need for an extended period of double barrier use or prolonged abstinence after study discharge.
* A female participant is eligible to participate if she is not pregnant or breastfeeding and at least one of the following conditions applies:
* Is not a woman of childbearing potential (WOCBP) or
* Is a WOCBP and "
caffeine,caffeine,POSITIVE,0.28,0.21,0.36,2025,2014,False,False,,False,primary outcome is not a cognitive measure; matched only via the registry's term expansion (attention -> concentration)results available 2014 vs ledger meta-analysis 2025; could have been included in the pooled estimate,NCT01766050,Study to Evaluate Effect of Belatacept on Pharmacokinetics of Inje Cocktail in Healthy Volunteers,COMPLETED,2014-06-27,2013-04,2013-04,45,PHASE4,Caffeine; Losartan; Omeprazole; Dextromethorphan; Midazolam; Belatacept,Adjusted Geometric Mean Maximum Drug Concentration (Cmax) of Midazolam With and Without the Coadministration of Belatacept - Pharmacokinetic (PK) Evaluable Population | Adjusted Geometric Mean Area Under the Concentration Time Curve (AUC) From Zero to Last Concentration (0-T) and AUC Extrapolated to Infinity (INF) of Midazolam With and Without the Coadministration of Belatacept - Pharmacokinetic (PK) Evaluable Population | Adjusted Geometric Mean Cmax of Losartan With and Without the Coadministration of Belatacept - PK Evaluable Population | Adjusted Geometric Mean AUC (0-T) and AUC (INF) of Losartan With and Without the Coadministration of Belatacept - Pharmacokinetic (PK) Evaluable Population | Adjusted Geometric Mean Cmax of Omeprazole With and Without the Coadministration of Belatacept - Pharmacokinetic (PK) Evaluable Population | Adjusted Geometric Mean AUC (0-T) and AUC (INF) of Omeprazole With and Without the Coadministration of Belatacept - Pharmacokinetic (PK) Evaluable Population | Adjusted Geometric Mean Cmax of Dextromethorphan With and Without the Coadministration of Belatacept - PK Evaluable Population | Adjusted Geometric Mean AUC (0-T) and AUC (INF) of Dextromethorphan With and Without the Coadministration of Belatacept - PK Evaluable Population | Adjusted Geometric Mean Cmax of Caffeine With and Without the Coadministration of Belatacept - PK Evaluable Population | Adjusted Geometric Mean AUC (0-T) and AUC (INF) of Caffeine With and Without the Coadministration of Belatacept - PK Evaluable Population,True,"Inclusion Criteria:

* BMI 18 to 30 kg/m2
* Men and women ages 18 to 45

Exclusion Criteria:

* Active tuberculosis
* Any recent infection requiring antibiotic treatment within 4 weeks of dosing
* Positive urine screen for drugs of abuse"
methylphenidate,methylphenidate,POSITIVE,0.21,0.09,0.32,2020,2018,False,True,,False,results available 2018 vs ledger meta-analysis 2020; could have been included in the pooled estimate,NCT01852344,Behavioral Differences in Effortful Control,COMPLETED,2018-01-08,2017-04-24,2013-06-05,108,NA,Methylphenidate; Placebo; Easy Behavioral Task; Hard Behavioral Task,Reaction Time on the Multi-Source Interference Task,True,"Inclusion Criteria:

* Age range 18-35

Exclusion Criteria:

* Pregnant or nursing (females)
* Any clinically significant medical condition
* Currently taking any medications (i.e., decongestants)
* Currently taking any psychoactive medications
* Alcohol or substance abuse (current or in the past 2 years)
* Liver or Kidney disease
* Any clinically significant personal or family history of cardiac problems"
methylphenidate,methylphenidate,POSITIVE,0.21,0.09,0.32,2020,2018,False,True,ADHD,False,results available 2018 vs ledger meta-analysis 2020; could have been included in the pooled estimate,NCT01993108,"Control of Cognition (Naltrexone, Methylphenidate, and ADHD Study (NMAS))",COMPLETED,2018-06-18,2017-02,2015-12,23,PHASE4,Methylphenidate; Naltrexone; Placebo,Reaction Time Variability on the Multi-Source Interference Task,True,"Inclusion Criteria for all study participants:

* Right-Handedness

Exclusion Criteria for all study participants:

* Any clinically significant history of cardiac problems
* Any current Axis I psychiatric diagnosis as verified by the Structured Clinical Interview for DSM-IV (other than participants with ADHD or history of alcohol dependence)
* A previous adequate trial with methylphenidate (Ritalin) or naltrexone (ReVia)
* Currently taking any psychoactive medications
* Any clinically significant medical condition
* Any clinically significant neurological problem (seizures, tics, serious head injury)
* Contraindications to MRI (metal objects in body or claustrophobia)
* Currently pregnant or lactating
* Alcohol or substance abuse (current or in the past 2 years)
* Left-handedness or ambidextrous
* Liver or kidney disease

Inclusion Criteria for the participants with ADHD:

* Currently un-medicated adults with ADHD
* Has met full DSM-IV-R criteria (at least six of nine symptoms)for inattentive or hyperactive/impulsive subtypes (or both) by age 7 as well within the past month
* Has described a chronic course of ADHD symptomatology from childhood to adulthood
* Has endorsed a moderat"
