query_id,chembl_id,assigned_class,tier,similarity,prior_g,g_ci_lo,g_ci_hi,p_success,scaffold_hit,reason
DEXMETHYLPHENIDATE,CHEMBL827,catecholaminergic_ADHD,HIGH,1.0,0.40254,0.3525400000000001,0.44629,0.897,True,"clean map to 'catecholaminergic_ADHD' (sim 1.00, margin 0.76, n=7)"
FLUOXETINE,CHEMBL41,catecholaminergic_ADHD,HIGH,0.5454545454545454,0.40254,0.3525400000000001,0.44629,0.897,True,"clean map to 'catecholaminergic_ADHD' (sim 0.55, margin 0.30, n=7)"
GUANFACINE,CHEMBL862,catecholaminergic_ADHD,HIGH,0.5135135135135135,0.40254,0.3525400000000001,0.44629,0.897,True,"clean map to 'catecholaminergic_ADHD' (sim 0.51, margin 0.29, n=7)"
BENZPHETAMINE,CHEMBL3545985,catecholaminergic_ADHD,HIGH,0.4827586206896552,0.40254,0.3525400000000001,0.44629,0.897,False,"clean map to 'catecholaminergic_ADHD' (sim 0.48, margin 0.27, n=7)"
DIFELIKEFALIN,CHEMBL3989915,catecholaminergic_ADHD,HIGH,0.4626865671641791,0.40254,0.3525400000000001,0.44629,0.897,False,"clean map to 'catecholaminergic_ADHD' (sim 0.46, margin 0.20, n=7)"
DULOXETINE,CHEMBL1175,catecholaminergic_ADHD,MED,0.44,0.40254,0.3525400000000001,0.44629,0.897,False,"moderate map to 'catecholaminergic_ADHD' (sim 0.44, margin 0.21, n=7)"
MEFENOREX,CHEMBL2110962,catecholaminergic_ADHD,MED,0.42424242424242425,0.40254,0.3525400000000001,0.44629,0.897,True,"moderate map to 'catecholaminergic_ADHD' (sim 0.42, margin 0.19, n=7)"
SELEGILINE,CHEMBL972,catecholaminergic_ADHD,MED,0.42424242424242425,0.40254,0.3525400000000001,0.44629,0.897,True,"moderate map to 'catecholaminergic_ADHD' (sim 0.42, margin 0.23, n=7)"
PRENYLAMINE,CHEMBL24072,catecholaminergic_ADHD,MED,0.42424242424242425,0.40254,0.3525400000000001,0.44629,0.897,False,"moderate map to 'catecholaminergic_ADHD' (sim 0.42, margin 0.20, n=7)"
SOLRIAMFETOL,CHEMBL4297620,catecholaminergic_ADHD,MED,0.42424242424242425,0.40254,0.3525400000000001,0.44629,0.897,True,"moderate map to 'catecholaminergic_ADHD' (sim 0.42, margin 0.07, n=7)"
FENPROPOREX,CHEMBL2105566,catecholaminergic_ADHD,MED,0.4117647058823529,0.40254,0.3525400000000001,0.44629,0.897,True,"moderate map to 'catecholaminergic_ADHD' (sim 0.41, margin 0.21, n=7)"
CLOBENZOREX,CHEMBL1213251,catecholaminergic_ADHD,MED,0.4,0.40254,0.3525400000000001,0.44629,0.897,False,"moderate map to 'catecholaminergic_ADHD' (sim 0.40, margin 0.19, n=7)"
MEXILETINE,CHEMBL558,catecholaminergic_ADHD,MED,0.3870967741935484,0.40254,0.3525400000000001,0.44629,0.897,True,"moderate map to 'catecholaminergic_ADHD' (sim 0.39, margin 0.19, n=7)"
SERDEXMETHYLPHENIDATE,CHEMBL4301162,catecholaminergic_ADHD,MED,0.375,0.40254,0.3525400000000001,0.44629,0.897,False,"moderate map to 'catecholaminergic_ADHD' (sim 0.38, margin 0.15, n=7)"
MEPHENESIN,CHEMBL229128,catecholaminergic_ADHD,MED,0.37209302325581395,0.40254,0.3525400000000001,0.44629,0.897,True,"moderate map to 'catecholaminergic_ADHD' (sim 0.37, margin 0.19, n=7)"
PIPERIDOLATE,CHEMBL1623992,catecholaminergic_ADHD,MED,0.35714285714285715,0.40254,0.3525400000000001,0.44629,0.897,False,"moderate map to 'catecholaminergic_ADHD' (sim 0.36, margin 0.11, n=7)"
IBUFENAC,CHEMBL341812,catecholaminergic_ADHD,MED,0.3548387096774194,0.40254,0.3525400000000001,0.44629,0.897,True,"moderate map to 'catecholaminergic_ADHD' (sim 0.35, margin 0.07, n=7)"
FELBAMATE,CHEMBL1094,wake_promoting,HIGH,0.45714285714285713,0.35757999999999995,0.29258,0.42258,0.794,False,"clean map to 'wake_promoting' (sim 0.46, margin 0.12, n=3)"
HYDROXYZINE,CHEMBL896,wake_promoting,MED,0.37735849056603776,0.35757999999999995,0.29258,0.42258,0.794,False,"moderate map to 'wake_promoting' (sim 0.38, margin 0.11, n=3)"
BENZGALANTAMINE,CHEMBL5095056,AChE_inhibitor,HIGH,0.671875,0.20457454545454545,0.12175636363636363,0.28462,0.5614545454545454,False,"clean map to 'AChE_inhibitor' (sim 0.67, margin 0.45, n=10)"
ACRISORCIN,CHEMBL1201038,AChE_inhibitor,HIGH,0.5333333333333333,0.20457454545454545,0.12175636363636363,0.28462,0.5614545454545454,True,"clean map to 'AChE_inhibitor' (sim 0.53, margin 0.30, n=10)"
RASAGILINE,CHEMBL887,AChE_inhibitor,HIGH,0.4807692307692308,0.20457454545454545,0.12175636363636363,0.28462,0.5614545454545454,True,"clean map to 'AChE_inhibitor' (sim 0.48, margin 0.24, n=10)"
DEMECARIUM,CHEMBL1201229,AChE_inhibitor,MED,0.44,0.20457454545454545,0.12175636363636363,0.28462,0.5614545454545454,False,"moderate map to 'AChE_inhibitor' (sim 0.44, margin 0.24, n=10)"
CODEINE,CHEMBL485,AChE_inhibitor,MED,0.4057971014492754,0.20457454545454545,0.12175636363636363,0.28462,0.5614545454545454,False,"moderate map to 'AChE_inhibitor' (sim 0.41, margin 0.21, n=10)"
NEOSTIGMINE,CHEMBL278020,AChE_inhibitor,MED,0.40425531914893614,0.20457454545454545,0.12175636363636363,0.28462,0.5614545454545454,True,"moderate map to 'AChE_inhibitor' (sim 0.40, margin 0.20, n=10)"
DIHYDROCODEINE,CHEMBL1595,AChE_inhibitor,MED,0.38571428571428573,0.20457454545454545,0.12175636363636363,0.28462,0.5614545454545454,False,"moderate map to 'AChE_inhibitor' (sim 0.39, margin 0.16, n=10)"
FENOPROFEN,CHEMBL1297,AChE_inhibitor,MED,0.3829787234042553,0.20457454545454545,0.12175636363636363,0.28462,0.5614545454545454,False,"moderate map to 'AChE_inhibitor' (sim 0.38, margin 0.10, n=10)"
OXYCODONE,CHEMBL656,AChE_inhibitor,MED,0.375,0.20457454545454545,0.12175636363636363,0.28462,0.5614545454545454,False,"moderate map to 'AChE_inhibitor' (sim 0.38, margin 0.16, n=10)"
FENOPROFEN CALCIUM,CHEMBL2103736,AChE_inhibitor,MED,0.3673469387755102,0.20457454545454545,0.12175636363636363,0.28462,0.5614545454545454,False,"moderate map to 'AChE_inhibitor' (sim 0.37, margin 0.07, n=10)"
DISTIGMINE,CHEMBL1199307,AChE_inhibitor,MED,0.36538461538461536,0.20457454545454545,0.12175636363636363,0.28462,0.5614545454545454,False,"moderate map to 'AChE_inhibitor' (sim 0.37, margin 0.18, n=10)"
